b'{id: 576, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 577, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 578, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 579, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 580, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 581, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 582, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 583, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 584, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 585, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 586, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 587, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 588, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 589, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 590, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 591, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 592, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 593, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 594, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 595, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 596, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 597, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 598, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 599, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 600, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 601, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 602, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 603, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 604, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 605, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 606, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 607, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 608, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 609, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 610, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 611, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 612, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 613, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 614, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 615, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 616, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 617, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 618, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 619, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 620, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 621, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 622, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 623, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 624, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 625, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 626, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 627, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 628, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 629, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 630, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 631, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 632, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 633, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 634, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 635, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 636, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 637, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 638, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 639, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 640, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 641, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 642, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 643, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 644, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 645, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 646, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 647, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 648, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 649, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 650, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 651, voltage: 6.475073, temperature: 31.000000}\n'
b'{id: 652, voltage: 6.475073, temperature: 31.000000}\n'
b'{id: 653, voltage: 6.475073, temperature: 31.000000}\n'
b'{id: 654, voltage: 6.475073, temperature: 31.000000}\n'
b'{id: 655, voltage: 6.475073, temperature: 31.000000}\n'
b'{id: 656, voltage: 6.475073, temperature: 31.000000}\n'
b'{id: 657, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 658, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 659, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 660, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 661, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 662, voltage: 6.475073, temperature: 31.000000}\n'
b'{id: 663, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 664, voltage: 6.475073, temperature: 31.000000}\n'
b'{id: 665, voltage: 6.475073, temperature: 31.000000}\n'
b'{id: 666, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 667, voltage: 6.475073, temperature: 30.500000}\n'
